,date,division,pangolinLineage,submittingLab,count
0,2021-01-16,Bern,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",3
1,2021-08-02,Vaud,B.1.617.2,Laboratory of genomics and metagenomics,22
2,2021-09-24,Bern,B.1.617.2,"Institute for Infectious Diseases, University of Bern",11
3,2020-11-20,Basel-Stadt,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
4,2020-11-17,Neuchâtel,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
5,2021-09-27,Valais,AY.7.1,Genesupport,1
6,2020-12-16,Schaffhausen,B.1.177.44,"Department of Biosystems Science and Engineering, ETH Zürich",7
7,2020-11-24,Ticino,B.1.160.22,"Department of Biosystems Science and Engineering, ETH Zürich",1
8,2021-02-12,Vaud,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
9,2020-03-06,Basel-Stadt,B.1,"University Hospital Basel, Clinical Bacteriology",4
10,2021-08-15,Olten,B.1.617.2,Institute for Infectious Diseases,2
11,2021-01-26,Vaud,B.1.258.17,Laboratory of genomics and metagenomics,3
12,2021-03-12,Zürich,B.1.177.51,"Department of Biosystems Science and Engineering, ETH Zürich",2
13,2021-09-04,Valais,B.1.617.2,"Valais Hospital, Central Institute",1
14,2020-12-16,Schwyz,B.1.177.62,"Department of Biosystems Science and Engineering, ETH Zürich",2
15,2021-05-12,Aargau,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
16,2021-01-08,Zürich,B.1.160.31,"Department of Biosystems Science and Engineering, ETH Zürich",2
17,2020-12-30,Schaffhausen,B.1.160.31,"Department of Biosystems Science and Engineering, ETH Zürich",1
18,2021-09-06,Vaud,AY.4,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
19,2021-01-07,Solothurn,B.1.1.519,"Department of Biosystems Science and Engineering, ETH Zürich",1
20,2021-07-24,Zürich,B.1.617.2,Institute of Medical Virology,19
21,2021-01-12,Zürich,B.1,"University Hospital Basel, Clinical Bacteriology",1
22,2021-05-05,Bern,AZ.2.1,"Institute for Infectious Diseases, University of Bern, Switzerland",2
23,2020-11-07,Vaud,B.1.160.14,"Department of Biosystems Science and Engineering, ETH Zürich",2
24,2021-08-08,Solothurn,AY.5,"Department of Biosystems Science and Engineering, ETH Zürich",1
25,2020-10-28,Bern,B.1.177.52,"University Hospital Basel, Clinical Bacteriology",1
26,2021-05-12,Bern,B.1.351.3,Institute for Infectious Diseases,1
27,2021-03-05,Geneva,B.1.1.318,"Department of Biosystems Science and Engineering, ETH Zürich",1
28,2021-01-12,Bern,B.1.36,"Department of Biosystems Science and Engineering, ETH Zürich",1
29,2021-01-14,Zürich,B.1.258.17,"Institute of Medical Virology, University of Zurich",1
30,2021-08-26,Graubünden,AY.39,"Microbiology, Dr. Risch",1
31,2021-10-14,Appenzell Innerrhoden,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
32,2021-05-15,Bern,B.1.1.7,"Microbiology, Dr. Risch",1
33,2020-10-31,Basel-Stadt,B.1.160,"University Hospital Basel, Clinical Bacteriology",3
34,2020-08-23,Valais,B.1.177.31,"Department of Biosystems Science and Engineering, ETH Zürich",1
35,2021-05-29,Zürich,B.1.617.2,Institute of Medical Virology,1
36,2021-07-06,Thurgau,AY.9,"Microbiology, Dr. Risch",1
37,2021-06-23,Ticino,AZ.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
38,2021-08-26,Lucerne,B.1.617.2,Clinical Bacteriology,2
39,2020-12-22,Aargau,B.1.160.32,"Department of Biosystems Science and Engineering, ETH Zürich",1
40,2021-07-09,Bern,B.1.617.2,Institute for Infectious Diseases,1
41,2021-01-11,Bern,B.1.177.44,"Department of Biosystems Science and Engineering, ETH Zürich",3
42,2021-09-12,Aargau,AY.23,"Department of Biosystems Science and Engineering, ETH Zürich",2
43,2020-09-02,Aargau,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",2
44,2021-08-29,Graubünden,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",2
45,2021-02-05,Neuchâtel,B.1.1.7,"Genomics and Transcriptomics, Philip Morris International",5
46,2020-12-28,Solothurn,B.1.469,"Department of Biosystems Science and Engineering, ETH Zürich",1
47,2021-01-02,Solothurn,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",1
48,2020-10-23,Basel-Stadt,B.1.177.43,"University Hospital Basel, Clinical Bacteriology",2
49,2021-02-22,Geneva,B.1.619,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
50,2021-08-17,Bern,AY.4.3,"Department of Biosystems Science and Engineering, ETH Zürich",1
51,2021-09-05,Basel-Land,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",28
